,TP,FN,FP,TN,Accuracy,Sensitivity,Specificity,F1,Precision
970,8573,1427,3581,6419,0.75,0.86,0.64,0.77,0.71
971,8572,1428,3580,6420,0.75,0.86,0.64,0.77,0.71
972,8571,1429,3579,6421,0.75,0.86,0.64,0.77,0.71
973,8570,1430,3578,6422,0.75,0.86,0.64,0.77,0.71
974,8569,1431,3577,6423,0.75,0.86,0.64,0.77,0.71
975,8568,1432,3576,6424,0.75,0.86,0.64,0.77,0.71
976,8567,1433,3575,6425,0.75,0.86,0.64,0.77,0.71
977,8566,1434,3574,6426,0.75,0.86,0.64,0.77,0.71
978,8565,1435,3573,6427,0.75,0.86,0.64,0.77,0.71
979,8564,1436,3572,6428,0.75,0.86,0.64,0.77,0.71
980,8563,1437,3571,6429,0.75,0.86,0.64,0.77,0.71
981,8562,1438,3570,6430,0.75,0.86,0.64,0.77,0.71
982,8561,1439,3569,6431,0.75,0.86,0.64,0.77,0.71
983,8560,1440,3568,6432,0.75,0.86,0.64,0.77,0.71
984,8559,1441,3567,6433,0.75,0.86,0.64,0.77,0.71
985,8558,1442,3566,6434,0.75,0.86,0.64,0.77,0.71
986,8557,1443,3565,6435,0.75,0.86,0.64,0.77,0.71
987,8556,1444,3564,6436,0.75,0.86,0.64,0.77,0.71
988,8555,1445,3563,6437,0.75,0.86,0.64,0.77,0.71
989,8554,1446,3562,6438,0.75,0.86,0.64,0.77,0.71
990,8553,1447,3561,6439,0.75,0.86,0.64,0.77,0.71
991,8552,1448,3560,6440,0.75,0.86,0.64,0.77,0.71
992,8551,1449,3559,6441,0.75,0.86,0.64,0.77,0.71
993,8550,1450,3558,6442,0.75,0.86,0.64,0.77,0.71
994,8582,1418,3591,6409,0.75,0.86,0.64,0.77,0.71
995,8581,1419,3590,6410,0.75,0.86,0.64,0.77,0.71
996,8580,1420,3589,6411,0.75,0.86,0.64,0.77,0.71
997,8579,1421,3588,6412,0.75,0.86,0.64,0.77,0.71
998,8578,1422,3587,6413,0.75,0.86,0.64,0.77,0.71
999,8577,1423,3586,6414,0.75,0.86,0.64,0.77,0.71
1000,8576,1424,3585,6415,0.75,0.86,0.64,0.77,0.71
1001,8575,1425,3584,6416,0.75,0.86,0.64,0.77,0.71
1002,8574,1426,3583,6417,0.75,0.86,0.64,0.77,0.71
1003,8573,1427,3582,6418,0.75,0.86,0.64,0.77,0.71
1004,8572,1428,3581,6419,0.75,0.86,0.64,0.77,0.71
1005,8571,1429,3580,6420,0.75,0.86,0.64,0.77,0.71
1006,8570,1430,3579,6421,0.75,0.86,0.64,0.77,0.71
1007,8569,1431,3578,6422,0.75,0.86,0.64,0.77,0.71
1008,8568,1432,3577,6423,0.75,0.86,0.64,0.77,0.71
1009,8567,1433,3576,6424,0.75,0.86,0.64,0.77,0.71
1010,8566,1434,3575,6425,0.75,0.86,0.64,0.77,0.71
1011,8565,1435,3574,6426,0.75,0.86,0.64,0.77,0.71
1012,8564,1436,3573,6427,0.75,0.86,0.64,0.77,0.71
1013,8563,1437,3572,6428,0.75,0.86,0.64,0.77,0.71
1014,8562,1438,3571,6429,0.75,0.86,0.64,0.77,0.71
1015,8561,1439,3570,6430,0.75,0.86,0.64,0.77,0.71
1016,8560,1440,3569,6431,0.75,0.86,0.64,0.77,0.71
1017,8559,1441,3568,6432,0.75,0.86,0.64,0.77,0.71
1018,8558,1442,3567,6433,0.75,0.86,0.64,0.77,0.71
1019,8557,1443,3566,6434,0.75,0.86,0.64,0.77,0.71
1020,8556,1444,3565,6435,0.75,0.86,0.64,0.77,0.71
1021,8555,1445,3564,6436,0.75,0.86,0.64,0.77,0.71
1022,8554,1446,3563,6437,0.75,0.86,0.64,0.77,0.71
1023,8553,1447,3562,6438,0.75,0.86,0.64,0.77,0.71
1024,8552,1448,3561,6439,0.75,0.86,0.64,0.77,0.71
1025,8551,1449,3560,6440,0.75,0.86,0.64,0.77,0.71
1026,8550,1450,3559,6441,0.75,0.86,0.64,0.77,0.71
1027,8580,1420,3590,6410,0.75,0.86,0.64,0.77,0.71
1028,8579,1421,3589,6411,0.75,0.86,0.64,0.77,0.71
1029,8578,1422,3588,6412,0.75,0.86,0.64,0.77,0.71
1030,8577,1423,3587,6413,0.75,0.86,0.64,0.77,0.71
1031,8576,1424,3586,6414,0.75,0.86,0.64,0.77,0.71
1032,8575,1425,3585,6415,0.75,0.86,0.64,0.77,0.71
1033,8574,1426,3584,6416,0.75,0.86,0.64,0.77,0.71
1034,8573,1427,3583,6417,0.75,0.86,0.64,0.77,0.71
1035,8572,1428,3582,6418,0.75,0.86,0.64,0.77,0.71
1036,8571,1429,3581,6419,0.75,0.86,0.64,0.77,0.71
1037,8570,1430,3580,6420,0.75,0.86,0.64,0.77,0.71
1038,8569,1431,3579,6421,0.75,0.86,0.64,0.77,0.71
1039,8568,1432,3578,6422,0.75,0.86,0.64,0.77,0.71
1040,8567,1433,3577,6423,0.75,0.86,0.64,0.77,0.71
1041,8566,1434,3576,6424,0.75,0.86,0.64,0.77,0.71
1042,8565,1435,3575,6425,0.75,0.86,0.64,0.77,0.71
1043,8564,1436,3574,6426,0.75,0.86,0.64,0.77,0.71
1044,8563,1437,3573,6427,0.75,0.86,0.64,0.77,0.71
1045,8562,1438,3572,6428,0.75,0.86,0.64,0.77,0.71
1046,8561,1439,3571,6429,0.75,0.86,0.64,0.77,0.71
1047,8560,1440,3570,6430,0.75,0.86,0.64,0.77,0.71
