TP,FN,FP,TN,Accuracy,Sensitivity,Specificity,F1,Precision,
8565,1435,3560,6440,0.75,0.86,0.64,0.77,0.71,
8564,1436,3559,6441,0.75,0.86,0.64,0.77,0.71,
8563,1437,3558,6442,0.75,0.86,0.64,0.77,0.71,
8562,1438,3557,6443,0.75,0.86,0.64,0.77,0.71,
8561,1439,3556,6444,0.75,0.86,0.64,0.77,0.71,
8560,1440,3555,6445,0.75,0.86,0.64,0.77,0.71,
8559,1441,3554,6446,0.75,0.86,0.64,0.77,0.71,
8558,1442,3553,6447,0.75,0.86,0.64,0.77,0.71,
8557,1443,3552,6448,0.75,0.86,0.64,0.77,0.71,
8556,1444,3551,6449,0.75,0.86,0.64,0.77,0.71,
8604,1396,3600,6400,0.75,0.86,0.64,0.77,0.71,
8603,1397,3599,6401,0.75,0.86,0.64,0.77,0.71,
8602,1398,3598,6402,0.75,0.86,0.64,0.77,0.71,
8601,1399,3597,6403,0.75,0.86,0.64,0.77,0.71,
8600,1400,3596,6404,0.75,0.86,0.64,0.77,0.71,
8599,1401,3595,6405,0.75,0.86,0.64,0.77,0.71,
8598,1402,3594,6406,0.75,0.86,0.64,0.77,0.71,
8597,1403,3593,6407,0.75,0.86,0.64,0.77,0.71,
8596,1404,3592,6408,0.75,0.86,0.64,0.77,0.71,
8595,1405,3591,6409,0.75,0.86,0.64,0.77,0.71,
8594,1406,3590,6410,0.75,0.86,0.64,0.77,0.71,
8593,1407,3589,6411,0.75,0.86,0.64,0.77,0.71,
8592,1408,3588,6412,0.75,0.86,0.64,0.77,0.71,
8591,1409,3587,6413,0.75,0.86,0.64,0.77,0.71,
8590,1410,3586,6414,0.75,0.86,0.64,0.77,0.71,
8589,1411,3585,6415,0.75,0.86,0.64,0.77,0.71,
8588,1412,3584,6416,0.75,0.86,0.64,0.77,0.71,
8587,1413,3583,6417,0.75,0.86,0.64,0.77,0.71,
8586,1414,3582,6418,0.75,0.86,0.64,0.77,0.71,
8585,1415,3581,6419,0.75,0.86,0.64,0.77,0.71,
8584,1416,3580,6420,0.75,0.86,0.64,0.77,0.71,
8583,1417,3579,6421,0.75,0.86,0.64,0.77,0.71,
8582,1418,3578,6422,0.75,0.86,0.64,0.77,0.71,
8581,1419,3577,6423,0.75,0.86,0.64,0.77,0.71,
8580,1420,3576,6424,0.75,0.86,0.64,0.77,0.71,
8579,1421,3575,6425,0.75,0.86,0.64,0.77,0.71,
8578,1422,3574,6426,0.75,0.86,0.64,0.77,0.71,
8577,1423,3573,6427,0.75,0.86,0.64,0.77,0.71,
8576,1424,3572,6428,0.75,0.86,0.64,0.77,0.71,
8575,1425,3571,6429,0.75,0.86,0.64,0.77,0.71,
8574,1426,3570,6430,0.75,0.86,0.64,0.77,0.71,
8573,1427,3569,6431,0.75,0.86,0.64,0.77,0.71,
8572,1428,3568,6432,0.75,0.86,0.64,0.77,0.71,
8571,1429,3567,6433,0.75,0.86,0.64,0.77,0.71,
8570,1430,3566,6434,0.75,0.86,0.64,0.77,0.71,
8569,1431,3565,6435,0.75,0.86,0.64,0.77,0.71,
8568,1432,3564,6436,0.75,0.86,0.64,0.77,0.71,
8567,1433,3563,6437,0.75,0.86,0.64,0.77,0.71,
8566,1434,3562,6438,0.75,0.86,0.64,0.77,0.71,
8565,1435,3561,6439,0.75,0.86,0.64,0.77,0.71,
8564,1436,3560,6440,0.75,0.86,0.64,0.77,0.71,
8563,1437,3559,6441,0.75,0.86,0.64,0.77,0.71,
8562,1438,3558,6442,0.75,0.86,0.64,0.77,0.71,
8561,1439,3557,6443,0.75,0.86,0.64,0.77,0.71,
8560,1440,3556,6444,0.75,0.86,0.64,0.77,0.71,
8559,1441,3555,6445,0.75,0.86,0.64,0.77,0.71,
8558,1442,3554,6446,0.75,0.86,0.64,0.77,0.71,
8557,1443,3553,6447,0.75,0.86,0.64,0.77,0.71,
8556,1444,3552,6448,0.75,0.86,0.64,0.77,0.71,
8555,1445,3551,6449,0.75,0.86,0.64,0.77,0.71,
8602,1398,3599,6401,0.75,0.86,0.64,0.77,0.71,
8601,1399,3598,6402,0.75,0.86,0.64,0.77,0.71,
8600,1400,3597,6403,0.75,0.86,0.64,0.77,0.71,
8599,1401,3596,6404,0.75,0.86,0.64,0.77,0.71,
8598,1402,3595,6405,0.75,0.86,0.64,0.77,0.71,
8597,1403,3594,6406,0.75,0.86,0.64,0.77,0.71,
8596,1404,3593,6407,0.75,0.86,0.64,0.77,0.71,
8595,1405,3592,6408,0.75,0.86,0.64,0.77,0.71,
8594,1406,3591,6409,0.75,0.86,0.64,0.77,0.71,
8593,1407,3590,6410,0.75,0.86,0.64,0.77,0.71,
8592,1408,3589,6411,0.75,0.86,0.64,0.77,0.71,
8591,1409,3588,6412,0.75,0.86,0.64,0.77,0.71,
8590,1410,3587,6413,0.75,0.86,0.64,0.77,0.71,
8589,1411,3586,6414,0.75,0.86,0.64,0.77,0.71,
8588,1412,3585,6415,0.75,0.86,0.64,0.77,0.71,
8587,1413,3584,6416,0.75,0.86,0.64,0.77,0.71,
8586,1414,3583,6417,0.75,0.86,0.64,0.77,0.71,
8585,1415,3582,6418,0.75,0.86,0.64,0.77,0.71,
8584,1416,3581,6419,0.75,0.86,0.64,0.77,0.71,
8583,1417,3580,6420,0.75,0.86,0.64,0.77,0.71,
8582,1418,3579,6421,0.75,0.86,0.64,0.77,0.71,
8581,1419,3578,6422,0.75,0.86,0.64,0.77,0.71,
8580,1420,3577,6423,0.75,0.86,0.64,0.77,0.71,
8579,1421,3576,6424,0.75,0.86,0.64,0.77,0.71,
8578,1422,3575,6425,0.75,0.86,0.64,0.77,0.71,
8577,1423,3574,6426,0.75,0.86,0.64,0.77,0.71,
8576,1424,3573,6427,0.75,0.86,0.64,0.77,0.71,
8575,1425,3572,6428,0.75,0.86,0.64,0.77,0.71,
8574,1426,3571,6429,0.75,0.86,0.64,0.77,0.71,
8573,1427,3570,6430,0.75,0.86,0.64,0.77,0.71,
8572,1428,3569,6431,0.75,0.86,0.64,0.77,0.71,
8571,1429,3568,6432,0.75,0.86,0.64,0.77,0.71,
8570,1430,3567,6433,0.75,0.86,0.64,0.77,0.71,
8569,1431,3566,6434,0.75,0.86,0.64,0.77,0.71,
8568,1432,3565,6435,0.75,0.86,0.64,0.77,0.71,
8567,1433,3564,6436,0.75,0.86,0.64,0.77,0.71,
8566,1434,3563,6437,0.75,0.86,0.64,0.77,0.71,
8565,1435,3562,6438,0.75,0.86,0.64,0.77,0.71,
8564,1436,3561,6439,0.75,0.86,0.64,0.77,0.71,
8563,1437,3560,6440,0.75,0.86,0.64,0.77,0.71,
8562,1438,3559,6441,0.75,0.86,0.64,0.77,0.71,
8561,1439,3558,6442,0.75,0.86,0.64,0.77,0.71,
8560,1440,3557,6443,0.75,0.86,0.64,0.77,0.71,
8559,1441,3556,6444,0.75,0.86,0.64,0.77,0.71,
8558,1442,3555,6445,0.75,0.86,0.64,0.77,0.71,
8557,1443,3554,6446,0.75,0.86,0.64,0.77,0.71,
8556,1444,3553,6447,0.75,0.86,0.64,0.77,0.71,
8555,1445,3552,6448,0.75,0.86,0.64,0.77,0.71,
8554,1446,3551,6449,0.75,0.86,0.64,0.77,0.71,
8601,1399,3599,6401,0.75,0.86,0.64,0.77,0.71,
8600,1400,3598,6402,0.75,0.86,0.64,0.77,0.71,
8599,1401,3597,6403,0.75,0.86,0.64,0.77,0.71,
8598,1402,3596,6404,0.75,0.86,0.64,0.77,0.71,
8597,1403,3595,6405,0.75,0.86,0.64,0.77,0.71,
8596,1404,3594,6406,0.75,0.86,0.64,0.77,0.71,
8595,1405,3593,6407,0.75,0.86,0.64,0.77,0.71,
8594,1406,3592,6408,0.75,0.86,0.64,0.77,0.71,
8593,1407,3591,6409,0.75,0.86,0.64,0.77,0.71,
8592,1408,3590,6410,0.75,0.86,0.64,0.77,0.71,
8591,1409,3589,6411,0.75,0.86,0.64,0.77,0.71,
8590,1410,3588,6412,0.75,0.86,0.64,0.77,0.71,
8589,1411,3587,6413,0.75,0.86,0.64,0.77,0.71,
8588,1412,3586,6414,0.75,0.86,0.64,0.77,0.71,
8587,1413,3585,6415,0.75,0.86,0.64,0.77,0.71,
8586,1414,3584,6416,0.75,0.86,0.64,0.77,0.71,
8585,1415,3583,6417,0.75,0.86,0.64,0.77,0.71,
8584,1416,3582,6418,0.75,0.86,0.64,0.77,0.71,
8583,1417,3581,6419,0.75,0.86,0.64,0.77,0.71,
8582,1418,3580,6420,0.75,0.86,0.64,0.77,0.71,
8581,1419,3579,6421,0.75,0.86,0.64,0.77,0.71,
8580,1420,3578,6422,0.75,0.86,0.64,0.77,0.71,
8579,1421,3577,6423,0.75,0.86,0.64,0.77,0.71,
8578,1422,3576,6424,0.75,0.86,0.64,0.77,0.71,
8577,1423,3575,6425,0.75,0.86,0.64,0.77,0.71,
8576,1424,3574,6426,0.75,0.86,0.64,0.77,0.71,
8575,1425,3573,6427,0.75,0.86,0.64,0.77,0.71,
8574,1426,3572,6428,0.75,0.86,0.64,0.77,0.71,
8573,1427,3571,6429,0.75,0.86,0.64,0.77,0.71,
8572,1428,3570,6430,0.75,0.86,0.64,0.77,0.71,
8571,1429,3569,6431,0.75,0.86,0.64,0.77,0.71,
8570,1430,3568,6432,0.75,0.86,0.64,0.77,0.71,
8569,1431,3567,6433,0.75,0.86,0.64,0.77,0.71,
8568,1432,3566,6434,0.75,0.86,0.64,0.77,0.71,
8567,1433,3565,6435,0.75,0.86,0.64,0.77,0.71,
8566,1434,3564,6436,0.75,0.86,0.64,0.77,0.71,
8565,1435,3563,6437,0.75,0.86,0.64,0.77,0.71,
8564,1436,3562,6438,0.75,0.86,0.64,0.77,0.71,
8563,1437,3561,6439,0.75,0.86,0.64,0.77,0.71,
8562,1438,3560,6440,0.75,0.86,0.64,0.77,0.71,
8561,1439,3559,6441,0.75,0.86,0.64,0.77,0.71,
8560,1440,3558,6442,0.75,0.86,0.64,0.77,0.71,
8559,1441,3557,6443,0.75,0.86,0.64,0.77,0.71,
8558,1442,3556,6444,0.75,0.86,0.64,0.77,0.71,
8557,1443,3555,6445,0.75,0.86,0.64,0.77,0.71,
8556,1444,3554,6446,0.75,0.86,0.64,0.77,0.71,
8555,1445,3553,6447,0.75,0.86,0.64,0.77,0.71,
8554,1446,3552,6448,0.75,0.86,0.64,0.77,0.71,
8553,1447,3551,6449,0.75,0.86,0.64,0.77,0.71,
8599,1401,3598,6402,0.75,0.86,0.64,0.77,0.71,
8598,1402,3597,6403,0.75,0.86,0.64,0.77,0.71,
8597,1403,3596,6404,0.75,0.86,0.64,0.77,0.71,
8596,1404,3595,6405,0.75,0.86,0.64,0.77,0.71,
8595,1405,3594,6406,0.75,0.86,0.64,0.77,0.71,
8594,1406,3593,6407,0.75,0.86,0.64,0.77,0.71,
8593,1407,3592,6408,0.75,0.86,0.64,0.77,0.71,
8592,1408,3591,6409,0.75,0.86,0.64,0.77,0.71,
8591,1409,3590,6410,0.75,0.86,0.64,0.77,0.71,
8590,1410,3589,6411,0.75,0.86,0.64,0.77,0.71,
8589,1411,3588,6412,0.75,0.86,0.64,0.77,0.71,
8588,1412,3587,6413,0.75,0.86,0.64,0.77,0.71,
8587,1413,3586,6414,0.75,0.86,0.64,0.77,0.71,
8586,1414,3585,6415,0.75,0.86,0.64,0.77,0.71,
8585,1415,3584,6416,0.75,0.86,0.64,0.77,0.71,
8584,1416,3583,6417,0.75,0.86,0.64,0.77,0.71,
8583,1417,3582,6418,0.75,0.86,0.64,0.77,0.71,
8582,1418,3581,6419,0.75,0.86,0.64,0.77,0.71,
8581,1419,3580,6420,0.75,0.86,0.64,0.77,0.71,
8580,1420,3579,6421,0.75,0.86,0.64,0.77,0.71,
8579,1421,3578,6422,0.75,0.86,0.64,0.77,0.71,
8578,1422,3577,6423,0.75,0.86,0.64,0.77,0.71,
8577,1423,3576,6424,0.75,0.86,0.64,0.77,0.71,
8576,1424,3575,6425,0.75,0.86,0.64,0.77,0.71,
8575,1425,3574,6426,0.75,0.86,0.64,0.77,0.71,
8574,1426,3573,6427,0.75,0.86,0.64,0.77,0.71,
8573,1427,3572,6428,0.75,0.86,0.64,0.77,0.71,
8572,1428,3571,6429,0.75,0.86,0.64,0.77,0.71,
8571,1429,3570,6430,0.75,0.86,0.64,0.77,0.71,
8570,1430,3569,6431,0.75,0.86,0.64,0.77,0.71,
8569,1431,3568,6432,0.75,0.86,0.64,0.77,0.71,
8568,1432,3567,6433,0.75,0.86,0.64,0.77,0.71,
8567,1433,3566,6434,0.75,0.86,0.64,0.77,0.71,
8566,1434,3565,6435,0.75,0.86,0.64,0.77,0.71,
8565,1435,3564,6436,0.75,0.86,0.64,0.77,0.71,
8564,1436,3563,6437,0.75,0.86,0.64,0.77,0.71,
8563,1437,3562,6438,0.75,0.86,0.64,0.77,0.71,
8562,1438,3561,6439,0.75,0.86,0.64,0.77,0.71,
8561,1439,3560,6440,0.75,0.86,0.64,0.77,0.71,
8560,1440,3559,6441,0.75,0.86,0.64,0.77,0.71,
8559,1441,3558,6442,0.75,0.86,0.64,0.77,0.71,
8558,1442,3557,6443,0.75,0.86,0.64,0.77,0.71,
8557,1443,3556,6444,0.75,0.86,0.64,0.77,0.71,
8556,1444,3555,6445,0.75,0.86,0.64,0.77,0.71,
8555,1445,3554,6446,0.75,0.86,0.64,0.77,0.71,
8554,1446,3553,6447,0.75,0.86,0.64,0.77,0.71,
8553,1447,3552,6448,0.75,0.86,0.64,0.77,0.71,
8552,1448,3551,6449,0.75,0.86,0.64,0.77,0.71,
8597,1403,3597,6403,0.75,0.86,0.64,0.77,0.71,
8596,1404,3596,6404,0.75,0.86,0.64,0.77,0.71,
8595,1405,3595,6405,0.75,0.86,0.64,0.77,0.71,
8594,1406,3594,6406,0.75,0.86,0.64,0.77,0.71,
8593,1407,3593,6407,0.75,0.86,0.64,0.77,0.71,
8592,1408,3592,6408,0.75,0.86,0.64,0.77,0.71,
8591,1409,3591,6409,0.75,0.86,0.64,0.77,0.71,
8590,1410,3590,6410,0.75,0.86,0.64,0.77,0.71,
8589,1411,3589,6411,0.75,0.86,0.64,0.77,0.71,
8588,1412,3588,6412,0.75,0.86,0.64,0.77,0.71,
8587,1413,3587,6413,0.75,0.86,0.64,0.77,0.71,
8586,1414,3586,6414,0.75,0.86,0.64,0.77,0.71,
8585,1415,3585,6415,0.75,0.86,0.64,0.77,0.71,
8584,1416,3584,6416,0.75,0.86,0.64,0.77,0.71,
8583,1417,3583,6417,0.75,0.86,0.64,0.77,0.71,
8582,1418,3582,6418,0.75,0.86,0.64,0.77,0.71,
8581,1419,3581,6419,0.75,0.86,0.64,0.77,0.71,
8580,1420,3580,6420,0.75,0.86,0.64,0.77,0.71,
8579,1421,3579,6421,0.75,0.86,0.64,0.77,0.71,
8578,1422,3578,6422,0.75,0.86,0.64,0.77,0.71,
8577,1423,3577,6423,0.75,0.86,0.64,0.77,0.71,
8576,1424,3576,6424,0.75,0.86,0.64,0.77,0.71,
8575,1425,3575,6425,0.75,0.86,0.64,0.77,0.71,
8574,1426,3574,6426,0.75,0.86,0.64,0.77,0.71,
8573,1427,3573,6427,0.75,0.86,0.64,0.77,0.71,
8572,1428,3572,6428,0.75,0.86,0.64,0.77,0.71,
8571,1429,3571,6429,0.75,0.86,0.64,0.77,0.71,
8570,1430,3570,6430,0.75,0.86,0.64,0.77,0.71,
8569,1431,3569,6431,0.75,0.86,0.64,0.77,0.71,
8568,1432,3568,6432,0.75,0.86,0.64,0.77,0.71,
8567,1433,3567,6433,0.75,0.86,0.64,0.77,0.71,
8566,1434,3566,6434,0.75,0.86,0.64,0.77,0.71,
8565,1435,3565,6435,0.75,0.86,0.64,0.77,0.71,
8564,1436,3564,6436,0.75,0.86,0.64,0.77,0.71,
8563,1437,3563,6437,0.75,0.86,0.64,0.77,0.71,
8562,1438,3562,6438,0.75,0.86,0.64,0.77,0.71,
8561,1439,3561,6439,0.75,0.86,0.64,0.77,0.71,
8560,1440,3560,6440,0.75,0.86,0.64,0.77,0.71,
8559,1441,3559,6441,0.75,0.86,0.64,0.77,0.71,
8558,1442,3558,6442,0.75,0.86,0.64,0.77,0.71,
8557,1443,3557,6443,0.75,0.86,0.64,0.77,0.71,
8556,1444,3556,6444,0.75,0.86,0.64,0.77,0.71,
8555,1445,3555,6445,0.75,0.86,0.64,0.77,0.71,
8554,1446,3554,6446,0.75,0.86,0.64,0.77,0.71,
8553,1447,3553,6447,0.75,0.86,0.64,0.77,0.71,
8552,1448,3552,6448,0.75,0.86,0.64,0.77,0.71,
8551,1449,3551,6449,0.75,0.86,0.64,0.77,0.71,
8595,1405,3596,6404,0.75,0.86,0.64,0.77,0.71,
8594,1406,3595,6405,0.75,0.86,0.64,0.77,0.71,
8593,1407,3594,6406,0.75,0.86,0.64,0.77,0.71,
8592,1408,3593,6407,0.75,0.86,0.64,0.77,0.71,
8591,1409,3592,6408,0.75,0.86,0.64,0.77,0.71,
8590,1410,3591,6409,0.75,0.86,0.64,0.77,0.71,
8589,1411,3590,6410,0.75,0.86,0.64,0.77,0.71,
8588,1412,3589,6411,0.75,0.86,0.64,0.77,0.71,
8587,1413,3588,6412,0.75,0.86,0.64,0.77,0.71,
8586,1414,3587,6413,0.75,0.86,0.64,0.77,0.71,
8585,1415,3586,6414,0.75,0.86,0.64,0.77,0.71,
8584,1416,3585,6415,0.75,0.86,0.64,0.77,0.71,
8583,1417,3584,6416,0.75,0.86,0.64,0.77,0.71,
8582,1418,3583,6417,0.75,0.86,0.64,0.77,0.71,
8581,1419,3582,6418,0.75,0.86,0.64,0.77,0.71,
8580,1420,3581,6419,0.75,0.86,0.64,0.77,0.71,
8579,1421,3580,6420,0.75,0.86,0.64,0.77,0.71,
8578,1422,3579,6421,0.75,0.86,0.64,0.77,0.71,
8577,1423,3578,6422,0.75,0.86,0.64,0.77,0.71,
8576,1424,3577,6423,0.75,0.86,0.64,0.77,0.71,
8575,1425,3576,6424,0.75,0.86,0.64,0.77,0.71,
8574,1426,3575,6425,0.75,0.86,0.64,0.77,0.71,
8573,1427,3574,6426,0.75,0.86,0.64,0.77,0.71,
8572,1428,3573,6427,0.75,0.86,0.64,0.77,0.71,
8571,1429,3572,6428,0.75,0.86,0.64,0.77,0.71,
8570,1430,3571,6429,0.75,0.86,0.64,0.77,0.71,
8569,1431,3570,6430,0.75,0.86,0.64,0.77,0.71,
8568,1432,3569,6431,0.75,0.86,0.64,0.77,0.71,
8567,1433,3568,6432,0.75,0.86,0.64,0.77,0.71,
8566,1434,3567,6433,0.75,0.86,0.64,0.77,0.71,
8565,1435,3566,6434,0.75,0.86,0.64,0.77,0.71,
8564,1436,3565,6435,0.75,0.86,0.64,0.77,0.71,
8563,1437,3564,6436,0.75,0.86,0.64,0.77,0.71,
8562,1438,3563,6437,0.75,0.86,0.64,0.77,0.71,
8561,1439,3562,6438,0.75,0.86,0.64,0.77,0.71,
8560,1440,3561,6439,0.75,0.86,0.64,0.77,0.71,
8559,1441,3560,6440,0.75,0.86,0.64,0.77,0.71,
8558,1442,3559,6441,0.75,0.86,0.64,0.77,0.71,
8557,1443,3558,6442,0.75,0.86,0.64,0.77,0.71,
8556,1444,3557,6443,0.75,0.86,0.64,0.77,0.71,
8555,1445,3556,6444,0.75,0.86,0.64,0.77,0.71,
8554,1446,3555,6445,0.75,0.86,0.64,0.77,0.71,
8553,1447,3554,6446,0.75,0.86,0.64,0.77,0.71,
8552,1448,3553,6447,0.75,0.86,0.64,0.77,0.71,
8551,1449,3552,6448,0.75,0.86,0.64,0.77,0.71,
8550,1450,3551,6449,0.75,0.86,0.64,0.77,0.71,
8594,1406,3596,6404,0.75,0.86,0.64,0.77,0.71,
8593,1407,3595,6405,0.75,0.86,0.64,0.77,0.71,
8592,1408,3594,6406,0.75,0.86,0.64,0.77,0.71,
8591,1409,3593,6407,0.75,0.86,0.64,0.77,0.71,
8590,1410,3592,6408,0.75,0.86,0.64,0.77,0.71,
8589,1411,3591,6409,0.75,0.86,0.64,0.77,0.71,
8588,1412,3590,6410,0.75,0.86,0.64,0.77,0.71,
8587,1413,3589,6411,0.75,0.86,0.64,0.77,0.71,
8586,1414,3588,6412,0.75,0.86,0.64,0.77,0.71,
8585,1415,3587,6413,0.75,0.86,0.64,0.77,0.71,
8584,1416,3586,6414,0.75,0.86,0.64,0.77,0.71,
8583,1417,3585,6415,0.75,0.86,0.64,0.77,0.71,
8582,1418,3584,6416,0.75,0.86,0.64,0.77,0.71,
8581,1419,3583,6417,0.75,0.86,0.64,0.77,0.71,
8580,1420,3582,6418,0.75,0.86,0.64,0.77,0.71,
8579,1421,3581,6419,0.75,0.86,0.64,0.77,0.71,
8578,1422,3580,6420,0.75,0.86,0.64,0.77,0.71,
8577,1423,3579,6421,0.75,0.86,0.64,0.77,0.71,
8576,1424,3578,6422,0.75,0.86,0.64,0.77,0.71,
8575,1425,3577,6423,0.75,0.86,0.64,0.77,0.71,
8574,1426,3576,6424,0.75,0.86,0.64,0.77,0.71,
8573,1427,3575,6425,0.75,0.86,0.64,0.77,0.71,
8572,1428,3574,6426,0.75,0.86,0.64,0.77,0.71,
8571,1429,3573,6427,0.75,0.86,0.64,0.77,0.71,
8570,1430,3572,6428,0.75,0.86,0.64,0.77,0.71,
8569,1431,3571,6429,0.75,0.86,0.64,0.77,0.71,
8568,1432,3570,6430,0.75,0.86,0.64,0.77,0.71,
8567,1433,3569,6431,0.75,0.86,0.64,0.77,0.71,
8566,1434,3568,6432,0.75,0.86,0.64,0.77,0.71,
8565,1435,3567,6433,0.75,0.86,0.64,0.77,0.71,
8564,1436,3566,6434,0.75,0.86,0.64,0.77,0.71,
8563,1437,3565,6435,0.75,0.86,0.64,0.77,0.71,
8562,1438,3564,6436,0.75,0.86,0.64,0.77,0.71,
8561,1439,3563,6437,0.75,0.86,0.64,0.77,0.71,
8560,1440,3562,6438,0.75,0.86,0.64,0.77,0.71,
8559,1441,3561,6439,0.75,0.86,0.64,0.77,0.71,
8558,1442,3560,6440,0.75,0.86,0.64,0.77,0.71,
8557,1443,3559,6441,0.75,0.86,0.64,0.77,0.71,
8556,1444,3558,6442,0.75,0.86,0.64,0.77,0.71,
8555,1445,3557,6443,0.75,0.86,0.64,0.77,0.71,
8554,1446,3556,6444,0.75,0.86,0.64,0.77,0.71,
8553,1447,3555,6445,0.75,0.86,0.64,0.77,0.71,
8552,1448,3554,6446,0.75,0.86,0.64,0.77,0.71,
8551,1449,3553,6447,0.75,0.86,0.64,0.77,0.71,
8550,1450,3552,6448,0.75,0.86,0.64,0.77,0.71,
8592,1408,3595,6405,0.75,0.86,0.64,0.77,0.71,
8591,1409,3594,6406,0.75,0.86,0.64,0.77,0.71,
8590,1410,3593,6407,0.75,0.86,0.64,0.77,0.71,
8589,1411,3592,6408,0.75,0.86,0.64,0.77,0.71,
8588,1412,3591,6409,0.75,0.86,0.64,0.77,0.71,
8587,1413,3590,6410,0.75,0.86,0.64,0.77,0.71,
8586,1414,3589,6411,0.75,0.86,0.64,0.77,0.71,
8585,1415,3588,6412,0.75,0.86,0.64,0.77,0.71,
8584,1416,3587,6413,0.75,0.86,0.64,0.77,0.71,
8583,1417,3586,6414,0.75,0.86,0.64,0.77,0.71,
8582,1418,3585,6415,0.75,0.86,0.64,0.77,0.71,
8581,1419,3584,6416,0.75,0.86,0.64,0.77,0.71,
8580,1420,3583,6417,0.75,0.86,0.64,0.77,0.71,
8579,1421,3582,6418,0.75,0.86,0.64,0.77,0.71,
8578,1422,3581,6419,0.75,0.86,0.64,0.77,0.71,
8577,1423,3580,6420,0.75,0.86,0.64,0.77,0.71,
8576,1424,3579,6421,0.75,0.86,0.64,0.77,0.71,
8575,1425,3578,6422,0.75,0.86,0.64,0.77,0.71,
8574,1426,3577,6423,0.75,0.86,0.64,0.77,0.71,
8573,1427,3576,6424,0.75,0.86,0.64,0.77,0.71,
8572,1428,3575,6425,0.75,0.86,0.64,0.77,0.71,
8571,1429,3574,6426,0.75,0.86,0.64,0.77,0.71,
8570,1430,3573,6427,0.75,0.86,0.64,0.77,0.71,
8569,1431,3572,6428,0.75,0.86,0.64,0.77,0.71,
8568,1432,3571,6429,0.75,0.86,0.64,0.77,0.71,
8567,1433,3570,6430,0.75,0.86,0.64,0.77,0.71,
8566,1434,3569,6431,0.75,0.86,0.64,0.77,0.71,
8565,1435,3568,6432,0.75,0.86,0.64,0.77,0.71,
8564,1436,3567,6433,0.75,0.86,0.64,0.77,0.71,
8563,1437,3566,6434,0.75,0.86,0.64,0.77,0.71,
8562,1438,3565,6435,0.75,0.86,0.64,0.77,0.71,
8561,1439,3564,6436,0.75,0.86,0.64,0.77,0.71,
8560,1440,3563,6437,0.75,0.86,0.64,0.77,0.71,
8559,1441,3562,6438,0.75,0.86,0.64,0.77,0.71,
8558,1442,3561,6439,0.75,0.86,0.64,0.77,0.71,
8557,1443,3560,6440,0.75,0.86,0.64,0.77,0.71,
8556,1444,3559,6441,0.75,0.86,0.64,0.77,0.71,
8555,1445,3558,6442,0.75,0.86,0.64,0.77,0.71,
8554,1446,3557,6443,0.75,0.86,0.64,0.77,0.71,
8553,1447,3556,6444,0.75,0.86,0.64,0.77,0.71,
8552,1448,3555,6445,0.75,0.86,0.64,0.77,0.71,
8551,1449,3554,6446,0.75,0.86,0.64,0.77,0.71,
8550,1450,3553,6447,0.75,0.86,0.64,0.77,0.71,
8590,1410,3594,6406,0.75,0.86,0.64,0.77,0.71,
8589,1411,3593,6407,0.75,0.86,0.64,0.77,0.71,
8588,1412,3592,6408,0.75,0.86,0.64,0.77,0.71,
8587,1413,3591,6409,0.75,0.86,0.64,0.77,0.71,
8586,1414,3590,6410,0.75,0.86,0.64,0.77,0.71,
8585,1415,3589,6411,0.75,0.86,0.64,0.77,0.71,
8584,1416,3588,6412,0.75,0.86,0.64,0.77,0.71,
8583,1417,3587,6413,0.75,0.86,0.64,0.77,0.71,
8582,1418,3586,6414,0.75,0.86,0.64,0.77,0.71,
8581,1419,3585,6415,0.75,0.86,0.64,0.77,0.71,
8580,1420,3584,6416,0.75,0.86,0.64,0.77,0.71,
8579,1421,3583,6417,0.75,0.86,0.64,0.77,0.71,
8578,1422,3582,6418,0.75,0.86,0.64,0.77,0.71,
8577,1423,3581,6419,0.75,0.86,0.64,0.77,0.71,
8576,1424,3580,6420,0.75,0.86,0.64,0.77,0.71,
8575,1425,3579,6421,0.75,0.86,0.64,0.77,0.71,
8574,1426,3578,6422,0.75,0.86,0.64,0.77,0.71,
8573,1427,3577,6423,0.75,0.86,0.64,0.77,0.71,
8572,1428,3576,6424,0.75,0.86,0.64,0.77,0.71,
8571,1429,3575,6425,0.75,0.86,0.64,0.77,0.71,
8570,1430,3574,6426,0.75,0.86,0.64,0.77,0.71,
8569,1431,3573,6427,0.75,0.86,0.64,0.77,0.71,
8568,1432,3572,6428,0.75,0.86,0.64,0.77,0.71,
8567,1433,3571,6429,0.75,0.86,0.64,0.77,0.71,
8566,1434,3570,6430,0.75,0.86,0.64,0.77,0.71,
8565,1435,3569,6431,0.75,0.86,0.64,0.77,0.71,
8564,1436,3568,6432,0.75,0.86,0.64,0.77,0.71,
8563,1437,3567,6433,0.75,0.86,0.64,0.77,0.71,
8562,1438,3566,6434,0.75,0.86,0.64,0.77,0.71,
8561,1439,3565,6435,0.75,0.86,0.64,0.77,0.71,
8560,1440,3564,6436,0.75,0.86,0.64,0.77,0.71,
8559,1441,3563,6437,0.75,0.86,0.64,0.77,0.71,
8558,1442,3562,6438,0.75,0.86,0.64,0.77,0.71,
8557,1443,3561,6439,0.75,0.86,0.64,0.77,0.71,
8556,1444,3560,6440,0.75,0.86,0.64,0.77,0.71,
8555,1445,3559,6441,0.75,0.86,0.64,0.77,0.71,
