TP,FN,FP,TN,Accuracy,Sensitivity,Specificity,F1,Precision,
8581,1419,3565,6435,0.75,0.86,0.64,0.77,0.71,
8580,1420,3564,6436,0.75,0.86,0.64,0.77,0.71,
8579,1421,3563,6437,0.75,0.86,0.64,0.77,0.71,
8578,1422,3562,6438,0.75,0.86,0.64,0.77,0.71,
8577,1423,3561,6439,0.75,0.86,0.64,0.77,0.71,
8576,1424,3560,6440,0.75,0.86,0.64,0.77,0.71,
8575,1425,3559,6441,0.75,0.86,0.64,0.77,0.71,
8574,1426,3558,6442,0.75,0.86,0.64,0.77,0.71,
8573,1427,3557,6443,0.75,0.86,0.64,0.77,0.71,
8572,1428,3556,6444,0.75,0.86,0.64,0.77,0.71,
8571,1429,3555,6445,0.75,0.86,0.64,0.77,0.71,
8570,1430,3554,6446,0.75,0.86,0.64,0.77,0.71,
8569,1431,3553,6447,0.75,0.86,0.64,0.77,0.71,
8568,1432,3552,6448,0.75,0.86,0.64,0.77,0.71,
8567,1433,3551,6449,0.75,0.86,0.64,0.77,0.71,
8585,1415,3570,6430,0.75,0.86,0.64,0.77,0.71,
8584,1416,3569,6431,0.75,0.86,0.64,0.77,0.71,
8583,1417,3568,6432,0.75,0.86,0.64,0.77,0.71,
8582,1418,3567,6433,0.75,0.86,0.64,0.77,0.71,
8581,1419,3566,6434,0.75,0.86,0.64,0.77,0.71,
8580,1420,3565,6435,0.75,0.86,0.64,0.77,0.71,
8579,1421,3564,6436,0.75,0.86,0.64,0.77,0.71,
8578,1422,3563,6437,0.75,0.86,0.64,0.77,0.71,
8577,1423,3562,6438,0.75,0.86,0.64,0.77,0.71,
8576,1424,3561,6439,0.75,0.86,0.64,0.77,0.71,
8575,1425,3560,6440,0.75,0.86,0.64,0.77,0.71,
8574,1426,3559,6441,0.75,0.86,0.64,0.77,0.71,
8573,1427,3558,6442,0.75,0.86,0.64,0.77,0.71,
8572,1428,3557,6443,0.75,0.86,0.64,0.77,0.71,
8571,1429,3556,6444,0.75,0.86,0.64,0.77,0.71,
8570,1430,3555,6445,0.75,0.86,0.64,0.77,0.71,
